"CountyState","Sum_Plant_NetGenMW","average_month_ozone_concentration","Season","SeasonBinary","percent_white","percent_black","percent_asian","percent_housing_burden","Median_Income","percent_no_vehicle","Population","LogSum_Plant_NetGenMW"
"Palm Beach, FL",27166351,0.056,"Winter","0",61.49049541579,18.5141205709106,2.8181602282572,56.6432281662853,76066,2.37112317967958,1494805,7.43403130764898
"Pasco, FL",3157155.999,0.052,"Winter","0",78.1437814799784,5.97932928211155,2.85201796873216,50.0008799873282,63187,2.06549231148018,569211,6.49929604145226
"Pasco, FL",3157155.999,0.055,"Summer","1",78.1437814799784,5.97932928211155,2.85201796873216,50.0008799873282,63187,2.06549231148018,569211,6.49929604145226
"Person, NC",6551940,0.051,"Summer","1",66.5533720068488,25.5219646827324,0.482993023434106,50.4983388704319,60688,2.15626742673028,39131,6.81636991167846
"Pinellas, FL",7058966,0.051,"Winter","0",76.894276386108,10.0380449163366,3.53280176015035,52.7440482619228,66406,2.66720163547607,959918,6.84874109009119
"Pinellas, FL",7058966,0.051,"Summer","1",76.894276386108,10.0380449163366,3.53280176015035,52.7440482619228,66406,2.66720163547607,959918,6.84874109009119
"Pitt, NC",3770,0.054,"Summer","1",54.6624921143017,35.1158905581906,1.73310124068319,44.5060097178416,54915,1.94586503679681,171196,3.57634135020579
"Polk, FL",26720533.78,0.048,"Winter","0",64.4304964895433,14.8580129280428,1.76195178402372,46.7748402455833,60901,2.07158946790589,736229,7.4268451295293
"Polk, FL",26720533.78,0.041,"Summer","1",64.4304964895433,14.8580129280428,1.76195178402372,46.7748402455833,60901,2.07158946790589,736229,7.4268451295293
"Richland, SC",2386990,0.052,"Summer","1",42.4061841450785,47.2867471963975,2.88854553886597,52.0286067941136,59850,1.47241375072207,416161,6.37785059958744
"Richland, SC",2386990,0.041,"Winter","0",42.4061841450785,47.2867471963975,2.88854553886597,52.0286067941136,59850,1.47241375072207,416161,6.37785059958744
"Richmond, GA",393866.073,0.045,"Summer","1",34.4477160167448,55.897804058151,1.7748953447197,52.4298805887254,50605,1.56157129734695,206153,5.5953485729811
"Rockingham, NC",5549175,0.054,"Summer","1",73.0103388919953,17.6298391606092,0.563540878641362,41.0635421360973,50737,3.1929733918884,91209,6.74422842103617
"Rowan, NC",9341551.001,0.057,"Summer","1",73.4393167739874,16.0083499357436,1.07502022887527,39.2706194903997,59717,2.06118195626832,147067,6.97041898921228
"Rowan, NC",9341551.001,0.042,"Winter","0",73.4393167739874,16.0083499357436,1.07502022887527,39.2706194903997,59717,2.06118195626832,147067,6.97041898921228
"Russell, AL",743639.64,0.047,"Summer","1",46.9370762459855,44.8775680130504,0.779962276334347,47.7115574580178,47420,3.61435512744012,58849,5.87136253195303
"Santa Rosa, FL",1397625.001,0.05,"Winter","0",82.5084394213573,5.85203763082426,2.00270908071156,39.8644157915725,84715,1.29307864909959,188994,6.1453906607923
"Santa Rosa, FL",1397625.001,0.046,"Summer","1",82.5084394213573,5.85203763082426,2.00270908071156,39.8644157915725,84715,1.29307864909959,188994,6.1453906607923
"Sarasota, FL",31579,0.05,"Winter","0",86.0286486781735,4.26134294661714,1.79361481319642,49.8274311293325,77213,1.64789686222378,439392,4.49939837325435
"Sarasota, FL",31579,0.041,"Summer","1",86.0286486781735,4.26134294661714,1.79361481319642,49.8274311293325,77213,1.64789686222378,439392,4.49939837325435
"Seminole, FL",19269,0.048,"Winter","0",65.9983323467446,11.7745655296496,5.07042970714227,52.3300677982249,79490,1.30090960122516,471321,4.28485917673376
"Seminole, FL",19269,0.052,"Summer","1",65.9983323467446,11.7745655296496,5.07042970714227,52.3300677982249,79490,1.30090960122516,471321,4.28485917673376
"Shelby, AL",4044923,0.052,"Summer","1",78.0435520463031,13.0039836367209,2.00566283784991,43.7179005386446,90618,1.29631398013751,223916,6.60691025870641
"Shelby, TN",5433169.996,0.089,"Summer","1",36.6618453434653,53.7772548680972,2.8844825352964,50.2342059140892,59621,1.59736641338703,926440,6.73505329369003
"Shelby, TN",5433169.996,0.047,"Winter","0",36.6618453434653,53.7772548680972,2.8844825352964,50.2342059140892,59621,1.59736641338703,926440,6.73505329369003
"Spartanburg, SC",30838.001,0.058,"Summer","1",69.2838037192649,20.2914706514923,2.25312690272296,42.7537081550097,61955,1.55430084374053,330119,4.48908621818545
"Sullivan, TN",1037290,0.061,"Summer","1",93.2315621022921,1.98838220284523,0.771789669989037,38.1244947453517,54357,1.52423233444321,158722,6.01590019109737
"Sumner, TN",4450512,0.084,"Summer","1",82.5146689019279,8.41931468922249,1.55858670527572,44.5893863029944,81883,1.34467948460643,196845,6.64840997637056
