"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/13/2022","AQS","130210012","1","0.028","ppm","26","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/15/2022","AQS","130210012","1","0.042","ppm","39","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/16/2022","AQS","130210012","1","0.049","ppm","45","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/17/2022","AQS","130210012","1","0.052","ppm","48","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/18/2022","AQS","130210012","1","0.057","ppm","58","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/19/2022","AQS","130210012","1","0.043","ppm","40","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/20/2022","AQS","130210012","1","0.042","ppm","39","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/21/2022","AQS","130210012","1","0.03","ppm","28","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/22/2022","AQS","130210012","1","0.027","ppm","25","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/23/2022","AQS","130210012","1","0.023","ppm","21","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/24/2022","AQS","130210012","1","0.031","ppm","29","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/25/2022","AQS","130210012","1","0.026","ppm","24","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/26/2022","AQS","130210012","1","0.023","ppm","21","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/27/2022","AQS","130210012","1","0.046","ppm","43","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/28/2022","AQS","130210012","1","0.044","ppm","41","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/29/2022","AQS","130210012","1","0.04","ppm","37","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/30/2022","AQS","130210012","1","0.028","ppm","26","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/31/2022","AQS","130210012","1","0.027","ppm","25","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/01/2022","AQS","130210012","1","0.036","ppm","33","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/02/2022","AQS","130210012","1","0.053","ppm","49","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/03/2022","AQS","130210012","1","0.046","ppm","43","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/04/2022","AQS","130210012","1","0.035","ppm","32","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
