"County.FIPS.Code","Plant.county.name","Plant.state.abbreviation","Mean_Plant_Nameplate_CapacityMW","County","average_month_ozone_concentration","Average_Month_AQI_Value"
19,"Calcasieu","LA",334.633333333333,"Charleston",0.0347666666666667,32.1333333333333
19,"Hunterdon","NJ",512,"Charleston",0.0347666666666667,32.1333333333333
19,"Dorchester","MD",180.6,"Charleston",0.0347666666666667,32.1333333333333
19,"Sullivan","NH",20,"Charleston",0.0347666666666667,32.1333333333333
19,"Lyon","NV",230,"Charleston",0.0347666666666667,32.1333333333333
19,"Carroll","OH",832.3,"Charleston",0.0347666666666667,32.1333333333333
19,"Douglas","OR",16.725,"Charleston",0.0347666666666667,32.1333333333333
19,"Penobscot","ME",127.06,"Charleston",0.0347666666666667,32.1333333333333
19,"Pima","AZ",124.45,"Charleston",0.0347666666666667,32.1333333333333
19,"Clark","IN",5,"Charleston",0.0347666666666667,32.1333333333333
19,"Brunswick","NC",52.5,"Charleston",0.0347666666666667,32.1333333333333
19,"Fresno","CA",74.6933333333333,"Charleston",0.0347666666666667,32.1333333333333
19,"Carver","MN",55.1,"Charleston",0.0347666666666667,32.1333333333333
19,"Bedford","VA",4.85,"Charleston",0.0347666666666667,32.1333333333333
19,"Boone","MO",79.325,"Charleston",0.0347666666666667,32.1333333333333
21,"Cherokee","SC",628.466666666667,"Collier",0.0380967741935484,35.2903225806452
21,"Berrien","MI",4.4,"Collier",0.0380967741935484,35.2903225806452
21,"Buena Vista","IA",4,"Collier",0.0380967741935484,35.2903225806452
21,"Bayamon","PR",4.5,"Collier",0.0380967741935484,35.2903225806452
21,"Cambria","PA",457.533333333333,"Collier",0.0380967741935484,35.2903225806452
21,"Pinal","AZ",452.74,"Collier",0.0380967741935484,35.2903225806452
21,"Collier","FL",4,"Collier",0.0380967741935484,35.2903225806452
21,"Cherokee","KS",300.2,"Collier",0.0380967741935484,35.2903225806452
21,"Rutland","VT",13.2,"Collier",0.0380967741935484,35.2903225806452
21,"Bastrop","TX",616.9,"Collier",0.0380967741935484,35.2903225806452
21,"Laramie","WY",140,"Collier",0.0380967741935484,35.2903225806452
21,"Clay","AR",7.2,"Collier",0.0380967741935484,35.2903225806452
21,"Burt","NE",2.5,"Collier",0.0380967741935484,35.2903225806452
21,"Buchanan","MO",140,"Collier",0.0380967741935484,35.2903225806452
21,"Christian","IL",661.1,"Collier",0.0380967741935484,35.2903225806452
21,"Dawson","MT",83.7,"Collier",0.0380967741935484,35.2903225806452
21,"Bibb","GA",37.35,"Collier",0.0380967741935484,35.2903225806452
21,"Norfolk","MA",251.24,"Collier",0.0380967741935484,35.2903225806452
21,"Gilliam","OR",12.8,"Collier",0.0380967741935484,35.2903225806452
21,"Columbia","WI",558.5,"Collier",0.0380967741935484,35.2903225806452
21,"Buncombe","NC",510.15,"Collier",0.0380967741935484,35.2903225806452
21,"Mercer","NJ",11.88,"Collier",0.0380967741935484,35.2903225806452
23,"Plymouth","MA",98.5,"Columbia",0.0353666666666667,32.6333333333333
23,"Middlesex","NJ",303.41,"Columbia",0.0353666666666667,32.6333333333333
23,"Deer Lodge","MT",203.1,"Columbia",0.0353666666666667,32.6333333333333
23,"Lincoln","WY",488,"Columbia",0.0353666666666667,32.6333333333333
23,"Choctaw","OK",446,"Columbia",0.0353666666666667,32.6333333333333
23,"Clark","IL",11.15,"Columbia",0.0353666666666667,32.6333333333333
23,"Washington","VT",21.7,"Columbia",0.0353666666666667,32.6333333333333
23,"Santa Cruz","AZ",108,"Columbia",0.0353666666666667,32.6333333333333
23,"Branch","MI",12.9,"Columbia",0.0353666666666667,32.6333333333333
23,"Humboldt","CA",58.025,"Columbia",0.0353666666666667,32.6333333333333
23,"Grant","WV",1680.9,"Columbia",0.0353666666666667,32.6333333333333
23,"Burke","NC",1.78,"Columbia",0.0353666666666667,32.6333333333333
23,"Hidalgo","NM",137,"Columbia",0.0353666666666667,32.6333333333333
23,"Grant","OR",7.5,"Columbia",0.0353666666666667,32.6333333333333
23,"Choctaw","AL",87.5,"Columbia",0.0353666666666667,32.6333333333333
23,"Butler","MO",34.1,"Columbia",0.0353666666666667,32.6333333333333
23,"Juab","UT",649,"Columbia",0.0353666666666667,32.6333333333333
23,"Butler","NE",10.6,"Columbia",0.0353666666666667,32.6333333333333
23,"Cheyenne","KS",4.55,"Columbia",0.0353666666666667,32.6333333333333
25,"Cabarrus","NC",7.45,"Claiborne",0.0310645161290323,28.8709677419355
25,"Clark","SD",2.7,"Claiborne",0.0310645161290323,28.8709677419355
25,"Clark","KS",5.6,"Claiborne",0.0310645161290323,28.8709677419355
25,"Suffolk","MA",42.3833333333333,"Claiborne",0.0310645161290323,28.8709677419355
25,"Brunswick","VA",741.35,"Claiborne",0.0310645161290323,28.8709677419355
25,"Harford","MD",250.1,"Claiborne",0.0310645161290323,28.8709677419355
25,"Clermont","OH",714.8,"Claiborne",0.0310645161290323,28.8709677419355
25,"Caguas","PR",9,"Claiborne",0.0310645161290323,28.8709677419355
25,"Carbon","PA",94,"Claiborne",0.0310645161290323,28.8709677419355
25,"Clay","IL",118.5,"Claiborne",0.0310645161290323,28.8709677419355
25,"Lea","NM",364.8,"Claiborne",0.0310645161290323,28.8709677419355
25,"Imperial","CA",104.585714285714,"Claiborne",0.0310645161290323,28.8709677419355
25,"Somerset","ME",25.04,"Claiborne",0.0310645161290323,28.8709677419355
25,"Greenbrier","WV",31.5,"Claiborne",0.0310645161290323,28.8709677419355
25,"Chisago","MN",11,"Claiborne",0.0310645161290323,28.8709677419355
25,"Calhoun","MI",7.4,"Claiborne",0.0310645161290323,28.8709677419355
25,"Monmouth","NJ",2,"Claiborne",0.0310645161290323,28.8709677419355
25,"Dane","WI",112.522222222222,"Claiborne",0.0310645161290323,28.8709677419355
25,"Clarke","AL",15.6,"Claiborne",0.0310645161290323,28.8709677419355
25,"Cass","NE",345,"Claiborne",0.0310645161290323,28.8709677419355
31,"Craighead","AR",224.3,"Carteret",0.0361785714285714,33.4642857142857
31,"Craighead","AR",224.3,"Duval",0.0365978260869565,33.8586956521739
31,"Cape Girardeau","MO",26.3,"Carteret",0.0361785714285714,33.4642857142857
31,"Cape Girardeau","MO",26.3,"Duval",0.0365978260869565,33.8586956521739
31,"Denver","CO",104.5,"Carteret",0.0361785714285714,33.4642857142857
31,"Denver","CO",104.5,"Duval",0.0365978260869565,33.8586956521739
31,"Cook","IL",72.1916666666667,"Carteret",0.0361785714285714,33.4642857142857
31,"Cook","IL",72.1916666666667,"Duval",0.0365978260869565,33.8586956521739
31,"Cedar","IA",6.85,"Carteret",0.0361785714285714,33.4642857142857
31,"Cedar","IA",6.85,"Duval",0.0365978260869565,33.8586956521739
31,"Darlington","SC",178.25,"Carteret",0.0361785714285714,33.4642857142857
31,"Darlington","SC",178.25,"Duval",0.0365978260869565,33.8586956521739
31,"Cassia","ID",2.6,"Carteret",0.0361785714285714,33.4642857142857
31,"Cassia","ID",2.6,"Duval",0.0365978260869565,33.8586956521739
31,"Passaic","NJ",8.95,"Carteret",0.0361785714285714,33.4642857142857
31,"Passaic","NJ",8.95,"Duval",0.0365978260869565,33.8586956521739
31,"Duval","FL",334.255555555556,"Carteret",0.0361785714285714,33.4642857142857
31,"Duval","FL",334.255555555556,"Duval",0.0365978260869565,33.8586956521739
31,"Coffey","KS",10.8,"Carteret",0.0361785714285714,33.4642857142857
31,"Coffey","KS",10.8,"Duval",0.0365978260869565,33.8586956521739
31,"Comanche","OK",294,"Carteret",0.0361785714285714,33.4642857142857
31,"Comanche","OK",294,"Duval",0.0365978260869565,33.8586956521739
31,"Douglas","WI",7.5,"Carteret",0.0361785714285714,33.4642857142857
31,"Douglas","WI",7.5,"Duval",0.0365978260869565,33.8586956521739
31,"Montgomery","MD",123.775,"Carteret",0.0361785714285714,33.4642857142857
31,"Montgomery","MD",123.775,"Duval",0.0365978260869565,33.8586956521739
31,"Essex","NY",23.15,"Carteret",0.0361785714285714,33.4642857142857
31,"Essex","NY",23.15,"Duval",0.0365978260869565,33.8586956521739
31,"Cook","MN",87.35,"Carteret",0.0361785714285714,33.4642857142857
31,"Cook","MN",87.35,"Duval",0.0365978260869565,33.8586956521739
31,"Cheboygan","MI",21.3,"Carteret",0.0361785714285714,33.4642857142857
31,"Cheboygan","MI",21.3,"Duval",0.0365978260869565,33.8586956521739
31,"Washoe","NV",3.2,"Carteret",0.0361785714285714,33.4642857142857
31,"Washoe","NV",3.2,"Duval",0.0365978260869565,33.8586956521739
31,"DeSoto","LA",86,"Carteret",0.0361785714285714,33.4642857142857
31,"DeSoto","LA",86,"Duval",0.0365978260869565,33.8586956521739
31,"Kings","CA",29.1714285714286,"Carteret",0.0361785714285714,33.4642857142857
31,"Kings","CA",29.1714285714286,"Duval",0.0365978260869565,33.8586956521739
31,"Campbell","VA",71.1,"Carteret",0.0361785714285714,33.4642857142857
31,"Campbell","VA",71.1,"Duval",0.0365978260869565,33.8586956521739
31,"Platte","WY",1863,"Carteret",0.0361785714285714,33.4642857142857
31,"Platte","WY",1863,"Duval",0.0365978260869565,33.8586956521739
33,"King","WA",9,"Escambia",0.0358196721311475,33.1147540983607
33,"Burke","GA",317.6,"Escambia",0.0358196721311475,33.1147540983607
33,"Caroline","VA",892.5,"Escambia",0.0358196721311475,33.1147540983607
33,"Cerro Gordo","IA",346.5,"Escambia",0.0358196721311475,33.1147540983607
33,"Cheyenne","NE",5.1,"Escambia",0.0358196721311475,33.1147540983607
33,"Clearfield","PA",632,"Escambia",0.0358196721311475,33.1147540983607
33,"Harrison","WV",2052,"Escambia",0.0358196721311475,33.1147540983607
33,"East Baton Rouge","LA",166.32,"Escambia",0.0358196721311475,33.1147540983607
33,"Crawford","OH",27.45,"Escambia",0.0358196721311475,33.1147540983607
33,"Chippewa","MI",8.5,"Escambia",0.0358196721311475,33.1147540983607
33,"Carroll","MO",20.6,"Escambia",0.0358196721311475,33.1147540983607
33,"Cottonwood","MN",5.35,"Escambia",0.0358196721311475,33.1147540983607
33,"Colbert","AL",476,"Escambia",0.0358196721311475,33.1147540983607
33,"Prince Georges","MD",384.0625,"Escambia",0.0358196721311475,33.1147540983607
33,"Escambia","FL",461.84,"Escambia",0.0358196721311475,33.1147540983607
33,"Desoto","MS",903.9,"Escambia",0.0358196721311475,33.1147540983607
33,"Salem","NJ",212.6,"Escambia",0.0358196721311475,33.1147540983607
33,"Sheridan","WY",15,"Escambia",0.0358196721311475,33.1147540983607
35,"Dorchester","SC",22.5,"Flagler",0.0376451612903226,34.8709677419355
35,"Somerset","NJ",4.05,"Flagler",0.0376451612903226,34.8709677419355
35,"Davison","SD",3.9,"Flagler",0.0376451612903226,34.8709677419355
35,"Cuyahoga","OH",32.9666666666667,"Flagler",0.0376451612903226,34.8709677419355
35,"Salt Lake","UT",92.6777777777778,"Flagler",0.0376451612903226,34.8709677419355
35,"Bosque","TX",807,"Flagler",0.0376451612903226,34.8709677419355
35,"Cowley","KS",13.5666666666667,"Flagler",0.0376451612903226,34.8709677419355
35,"Fulton","NY",3.2,"Flagler",0.0376451612903226,34.8709677419355
35,"Klamath","OR",309.55,"Flagler",0.0376451612903226,34.8709677419355
35,"Lassen","CA",17.1666666666667,"Flagler",0.0376451612903226,34.8709677419355
35,"Catawba","NC",707.9,"Flagler",0.0376451612903226,34.8709677419355
35,"Clare","MI",1.6,"Flagler",0.0376451612903226,34.8709677419355
37,"Chickasaw","IA",26.5,"Edgefield",0.0338333333333333,31.3
37,"Dakota","MN",119.975,"Edgefield",0.0338333333333333,31.3
37,"Crawford","KS",7.2,"Edgefield",0.0338333333333333,31.3
37,"Cass","MO",363.733333333333,"Edgefield",0.0338333333333333,31.3
37,"Sweetwater","WY",631.1,"Edgefield",0.0338333333333333,31.3
37,"Quay","NM",27,"Edgefield",0.0338333333333333,31.3
37,"Clinton","MI",3.2,"Edgefield",0.0338333333333333,31.3
37,"Darke","OH",61.1,"Edgefield",0.0338333333333333,31.3
37,"Eagle","CO",11.1,"Edgefield",0.0338333333333333,31.3
37,"Davidson","TN",11.6,"Edgefield",0.0338333333333333,31.3
37,"Genesee","NY",26.5,"Edgefield",0.0338333333333333,31.3
37,"Los Angeles","CA",127.910344827586,"Edgefield",0.0338333333333333,31.3
41,"Cumberland","PA",25.6,"DeKalb",0.0338387096774194,31.2903225806452
41,"Lincoln","OR",18.8,"DeKalb",0.0338387096774194,31.2903225806452
41,"Delta","MI",72.5,"DeKalb",0.0338387096774194,31.2903225806452
41,"Gilchrist","FL",11,"DeKalb",0.0338387096774194,31.2903225806452
41,"Custer","NE",3.425,"DeKalb",0.0338387096774194,31.2903225806452
41,"Florence","SC",103.8,"DeKalb",0.0338387096774194,31.2903225806452
41,"Brazos","TX",90.1,"DeKalb",0.0338387096774194,31.2903225806452
41,"Warren","NJ",19.8,"DeKalb",0.0338387096774194,31.2903225806452
41,"Clay","IA",71.45,"DeKalb",0.0338387096774194,31.2903225806452
41,"Chariton","MO",6.4,"DeKalb",0.0338387096774194,31.2903225806452
41,"Carroll","KY",2225.9,"DeKalb",0.0338387096774194,31.2903225806452
